Order_ID,Order_Date,Customer_Name,Category,Region,Sales_Channel,Quantity,Unit_Price,Discount,Sales_Amount,Cost_Amount,Payment_Method,Order_Status
ORD00001,2025-11-24,Rahul,Electronics,North,Mobile App,2,771.52,0.1,1388.74,865.83,Debit Card,Completed
ORD00002,2025-01-16,Sneha,Home Appliances,West,Online,2,5583.15,0.2,8933.04,6526.53,Debit Card,Cancelled
ORD00003,2025-01-04,Sneha,Office Supplies,North,Online,3,17498.76,0.1,47246.65,29924.2,Debit Card,Completed
ORD00004,2025-07-03,Priya,Accessories,North,Mobile App,6,15152.59,0.0,90915.54,69906.73,Cash,Cancelled
ORD00005,2025-10-23,Vikram,Electronics,South,Online,4,17658.61,0.0,70634.44,52861.33,Debit Card,Cancelled
ORD00006,2025-08-21,Vikram,Electronics,South,Mobile App,6,4191.95,0.1,22636.53,13872.85,UPI,Pending
ORD00007,2025-08-25,Neha,Electronics,South,Online,7,6858.2,0.2,38405.92,23653.61,Cash,Returned
ORD00008,2025-05-18,Neha,Furniture,West,Store,2,5392.92,0.2,8628.67,7014.33,Debit Card,Pending
ORD00009,2025-05-16,Rohan,Home Appliances,West,Store,3,6278.69,0.2,15068.86,10724.4,UPI,Pending
ORD00010,2025-09-18,Rahul,Furniture,West,Mobile App,8,2409.1,0.0,19272.8,15578.8,Credit Card,Returned
ORD00011,2025-07-15,Aarav,Electronics,East,Mobile App,8,13298.49,0.2,85110.34,68789.06,Cash,Completed
ORD00012,2025-05-31,Vikram,Home Appliances,South,Mobile App,7,4080.22,0.0,28561.54,23881.58,Credit Card,Cancelled
ORD00013,2025-11-24,Aarav,Home Appliances,East,Store,4,3948.06,0.05,15002.63,10679.08,Credit Card,Completed
ORD00014,2025-07-05,Priya,Electronics,West,Online,5,6100.39,0.05,28976.85,23569.85,Net Banking,Pending
ORD00015,2025-03-07,Rohan,Furniture,South,Mobile App,8,23679.19,0.05,179961.84,113289.04,Cash,Returned
ORD00016,2025-12-10,Sneha,Furniture,North,Store,6,11036.79,0.2,52976.59,36312.58,Credit Card,Pending
